v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2012  4 16.000000     0.3601347280       1.594627963  
2012  4 21.000000     0.3769908055       1.681957662  
2012  4 26.000000     0.3928903893       1.800780372  
2012  5  1.000000     0.4079860288       1.893985318  
2012  5  6.000000     0.4233193071       1.978266833  
2012  5 11.000000     0.4370364911       2.086230593  
2012  5 16.000000     0.4504071330       2.154362416  
2012  5 21.000000     0.4633220875       2.236566589  
2012  5 26.000000     0.4743992993       2.320412830  
2012  5 31.000000     0.4854346518       2.367467095  
2012  6  5.000000     0.4951363850       2.442374630  
2012  6 10.000000     0.5032943050       2.493073739  
2012  6 15.000000     0.5113538957       2.525764693  
2012  6 20.000000     0.5173654391       2.583328889  
2012  6 25.000000     0.5224179327       2.599103258  
2012  6 30.000000     0.5268536701       2.621769122  
2012  7  5.000000     0.5290123471       2.650538665  
2012  7 10.000000     0.5308040080       2.637138316  
2012  7 15.000000     0.5312213779       2.649213615  
2012  7 20.000000     0.5297108549       2.641528060  
2012  7 25.000000     0.5280616100       2.608790390  
2012  7 30.000000     0.5243991833       2.604341209  
2012  8  4.000000     0.5196216590       2.560210210  
2012  8  9.000000     0.5144945122       2.517802882  
2012  8 14.000000     0.5072009285       2.489179382  
2012  8 19.000000     0.4996614861       2.417096269  
2012  8 24.000000     0.4912421244       2.370152226  
2012  8 29.000000     0.4811646107       2.312676838  
2012  9  3.000000     0.4714414441       2.227063989  
2012  9  8.000000     0.4603807627       2.175585696  
2012  9 13.000000     0.4486529451       2.091991192  
2012  9 18.000000     0.4373677001       2.007759944  
2012  9 23.000000     0.4247190684       1.948380885  
2012  9 28.000000     0.4125311433       1.849884628  
2012 10  3.000000     0.4005077159       1.777914424  
2012 10  8.000000     0.3876823260       1.708636341  
2012 10 13.000000     0.3761062152       1.612055709  
2012 10 18.000000     0.3643330836       1.556158801  
2012 10 23.000000     0.3527779318       1.480065634  
2012 10 28.000000     0.3427343363       1.402668228  
2012 11  2.000000     0.3324181988       1.361153258  
2012 11  7.000000     0.3233840497       1.287864197  
2012 11 12.000000     0.3155951596       1.241225861  
2012 11 17.000000     0.3079047503       1.210257270  
2012 11 22.000000     0.3022451091       1.153930937  
2012 11 27.000000     0.2973615146       1.141256019  
2012 12  2.000000     0.2932919448       1.119404186  
