v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1961 11 10.000000    10.2058799823      11.887136058  
1961 11 20.000000    10.2184330702      11.824089722  
1961 11 30.000000    10.2251850348      11.793619262  
1961 12 10.000000    10.2259662145      11.796563193  
1961 12 20.000000    10.2208026613      11.832553111  
1961 12 30.000000    10.2099842718      11.899707716  
1962  1  9.000000    10.1939542401      11.995094708  
1962  1 19.000000    10.1734274479      12.114304117  
1962  1 29.000000    10.1493368070      12.251749216  
1962  2  8.000000    10.1227268033      12.401221480  
1962  2 18.000000    10.0948365907      12.555687929  
1962  2 28.000000    10.0669274621      12.708126314  
1962  3 10.000000    10.0402272191      12.851865934  
1962  3 20.000000    10.0159596422      12.980547938  
1962  3 30.000000     9.9951465323      13.088951976  
1962  4  9.000000     9.9786556610      13.172823318  
1962  4 19.000000     9.9671920046      13.228858770  
1962  4 29.000000     9.9611743772      13.255155154  
1962  5  9.000000     9.9608699174      13.250625684  
1962  5 19.000000     9.9663454428      13.215132263  
1962  5 29.000000     9.9774469089      13.149537513  
1962  6  8.000000     9.9939436555      13.055104205  
1962  6 18.000000    10.0154375676      12.933831133  
1962  6 28.000000    10.0414246204      12.788230826  
1962  7  8.000000    10.0713832084      12.620961249  
1962  7 18.000000    10.1046670427      12.435266743  
1962  7 28.000000    10.1406165518      12.234562925  
1962  8  7.000000    10.1785662316      12.022383415  
1962  8 17.000000    10.2177636622      11.802744695  
1962  8 27.000000    10.2574969189      11.579624872  
1962  9  6.000000    10.2970302099      11.357189666  
1962  9 16.000000    10.3355827362      11.139920802  
1962  9 26.000000    10.3724417451      10.932093081  
1962 10  6.000000    10.4068570189      10.738165780  
1962 10 16.000000    10.4380950690      10.562580531  
1962 10 26.000000    10.4655130670      10.409327478  
1962 11  5.000000    10.4884561448      10.282359806  
1962 11 15.000000    10.5063792081      10.185023341  
1962 11 25.000000    10.5188650294      10.119845463  
1962 12  5.000000    10.5255654912      10.088789729  
1962 12 15.000000    10.5263564124      10.092492850  
1962 12 25.000000    10.5212859117      10.130404021  
1963  1  4.000000    10.5105763313      10.200843565  
1963  1 14.000000    10.4947445406      10.300412306  
1963  1 24.000000    10.4744726553      10.424620562  
1963  2  3.000000    10.4506510630      10.567835098  
1963  2 13.000000    10.4243915323      10.723254833  
1963  2 23.000000    10.3968488221      10.883876986  
1963  3  5.000000    10.3692807839      11.042371940  
1963  3 15.000000    10.3429463419      11.191568251  
1963  3 25.000000    10.3189674762      11.325211170  
1963  4  4.000000    10.2984073672      11.437635671  
1963  4 14.000000    10.2821212706      11.524367267  
1963  4 24.000000    10.2707422439      11.582242499  
1963  5  4.000000    10.2647623737      11.608942259  
1963  5 14.000000    10.2644029500      11.603515092  
1963  5 24.000000    10.2697160124      11.565937554  
1963  6  3.000000    10.2806228450      11.496824605  
1963  6 13.000000    10.2968305901      11.397831055  
1963  6 23.000000    10.3179812183      11.270993436  
1963  7  3.000000    10.3436174948      11.118789194  
1963  7 13.000000    10.3731587375      10.944360144  
1963  7 23.000000    10.4060327341      10.750877357  
1963  8  2.000000    10.4415820462      10.541938518  
1963  8 12.000000    10.4791034642      10.321494903  
1963  8 22.000000    10.5179259083      10.093413960  
1963  9  1.000000    10.5572965506       9.862023212  
1963  9 11.000000    10.5964750391       9.631735460  
1963  9 21.000000    10.6347445863       9.406876220  
1963 10  1.000000    10.6713244841       9.192158985  
1963 10 11.000000    10.7054965608       8.992064735  
1963 10 21.000000    10.7365565716       8.810952151  
1963 10 31.000000    10.7637921413       8.653237151  
1963 11 10.000000    10.7866109198       8.522655333  
1963 11 20.000000    10.8044553785       8.422600394  
1963 11 30.000000    10.8168639043       8.355877973  
1963 12 10.000000    10.8235650383       8.324062774  
1963 12 20.000000    10.8243838710       8.327975161  
1963 12 30.000000    10.8193673396       8.367091967  
1964  1  9.000000    10.8088001824       8.439305729  
1964  1 19.000000    10.7931224534       8.541490185  
1964  1 29.000000    10.7730563443       8.668877651  
1964  2  8.000000    10.7495076882       8.815535695  
1964  2 18.000000    10.7235067747       8.974897888  
1964  2 28.000000    10.6962702173       9.139459311  
1964  3  9.000000    10.6690109274       9.301811741  
1964  3 19.000000    10.6429338313       9.454854451  
1964  3 29.000000    10.6192216584       9.591777708  
1964  4  8.000000    10.5988541114       9.707058154  
1964  4 18.000000    10.5826877300       9.796081708  
1964  4 28.000000    10.5713967092       9.855290254  
1964  5  8.000000    10.5653912251       9.882665634  
1964  5 18.000000    10.5649492011       9.876978804  
1964  5 28.000000    10.5701306391       9.838108559  
1964  6  7.000000    10.5808062850       9.767011367  
1964  6 17.000000    10.5967678634       9.665030551  
1964  6 27.000000    10.6176279491       9.534401334  
1964  7  7.000000    10.6429217821       9.377857091  
1964  7 17.000000    10.6721460396       9.198283906  
1964  7 27.000000    10.7046716097       8.999272442  
1964  8  6.000000    10.7398735731       8.784491316  
1964  8 16.000000    10.7770926794       8.557773264  
1964  8 26.000000    10.8155929905       8.323480875  
1964  9  5.000000    10.8546821415       8.085817627  
1964  9 15.000000    10.8936185856       7.849260412  
1964  9 25.000000    10.9316353858       7.618568283  
1964 10  5.000000    10.9680225492       7.398186683  
1964 10 15.000000    11.0020191891       7.192857171  
1964 10 25.000000    11.0329045088       7.007172072  
1964 11  4.000000    11.0600278090       6.845232922  
1964 11 14.000000    11.0827291896       6.711173173  
1964 11 24.000000    11.1004781928       6.608349209  
1964 12  4.000000    11.1128481927       6.539323951  
1964 12 14.000000    11.1194999561       6.506102167  
1964 12 24.000000    11.1203240054       6.509203878  
1965  1  3.000000    11.1153609760       6.548048737  
1965  1 13.000000    11.1048504375       6.620846744  
1965  1 23.000000    11.0893107352       6.724002171  
1965  2  2.000000    11.0694096479       6.852935617  
1965  2 12.000000    11.0460430449       7.001774421  
1965  2 22.000000    11.0202957039       7.163480186  
1965  3  4.000000    10.9932943232       7.330886082  
1965  3 14.000000    10.9662798758       7.496314491  
1965  3 24.000000    10.9404638673       7.652332535  
1965  4  3.000000    10.9169420138       7.792439489  
1965  4 13.000000    10.8967537041       7.910585757  
1965  4 23.000000    10.8807176542       8.002090314  
1965  5  3.000000    10.8694650818       8.063537160  
1965  5 13.000000    10.8634774529       8.092352964  
1965  5 23.000000    10.8629701225       8.087521052  
1965  6  2.000000    10.8680188989       8.048877246  
1965  6 12.000000    10.8785484706       7.977002731  
1965  6 22.000000    10.8942855142       7.873648570  
